uuid,first_name,last_name,Age,City,State,item_count,sale_value,postage,date,repeat_customer
b217ad23-21d9-487d-af8b-9683a4b6fadf,Amber,Ross,31,East Timothymouth,ALABAMA ,9,54.56,7.8,2024-02-01,True
e5ac1125-03fd-4916-89cd-77681c5e232e,Ronald,Charles,33,South Patrickberg,Louisiana,11,481.15,8.51,2024-02-01,True
b50908bc-d1d3-4eb0-a2a4-3e974c9f5357,Theresa,Thompson,73,Royside,Maryland,22,397.43,4.97,2024-02-01,True
14537e1c-b841-4e81-8ea8-98ce6e1e0796,Richard,Suarez,79,Michaelhaven,Kansas ,15,65.0,1.62,2024-02-01,False
719d0f26-502c-4445-b12f-5a1bca70c8bf,Karen,Figueroa,55,Christopherborough,Kentucky,17,275.0,-7.97,2024-02-01,True
c4aadaee-a246-4e9d-8c38-0b42660e5a53,Elizabeth,Harmon,29,Stonemouth,New Mexico,20,384.49,-9.6,2024-02-01,False
5c92c3ea-f429-4c8e-9b26-a09cbf704455,Martin,Ramirez,37,New Colleen,Georgia,7,240.36,7.1,2024-02-01,True
d4c339c6-faea-46f7-a517-5e1e65cfcb86,Joel,Mack,46,Robertmouth,Indiana ,13,93.56,-5.7,2024-02-01,True
c5173c02-e380-48a8-8eec-c4ea9cfcb961,Elizabeth,Allen,23,Bakerport,New York,7,140.6,-4.68,2024-02-01,False
1960dc47-d828-47cc-a50c-213d0c08edee,Scott,Anderson,21,Houseborough,New York ,8,370.12,-9.37,2024-02-01,True
b58284b9-1107-4ee2-bb05-7230ce894a09,Adrienne,Garcia,64,Lake Johnport,Oregon ,16,10.28,7.4,2024-02-01,False
531d492f-24d1-4105-9baf-aac8154e2da6,Kelly,Robinson,26,Baileyside,Ohio,22,498.87,3.76,2024-02-01,False
29218f30-cdbd-466a-9d03-66eab711f732,Nicole,Melton,60,West Nicholasbury,Alaska,6,376.8,-9.16,2024-02-01,False
00c9ab68-7d4f-4043-95f8-baee71bfd3ec,Robin,Robinson,72,Butlerhaven,New Mexico,12,112.49,-6.63,2024-02-01,True
b9f8e67a-42e1-40a8-ac11-603ebc38613f,Sharon,Becker,79,Port Christopher,Oklahoma,21,44.49,0.79,2024-02-01,False
3ca48a66-84c2-4121-a748-8b06166946ce,Melissa,Davis,24,Robertview,Georgia,21,465.2,8.19,2024-02-01,True
d00ef103-5ee7-421d-b232-20f854ed4474,Anthony,Orr,41,North Tyler,Hawaii,22,483.44,-1.24,2024-02-01,False
08713196-9142-482a-83f7-25492478d883,Jennifer,Stevens,25,Williamshaven,Hawaii,8,312.11,0.58,2024-02-01,False
00b14b3e-650d-46d6-98ac-474484d4943f,Elizabeth,Deleon,59,South Garyborough,Virginia,17,412.47,-2.88,2024-02-01,False
2721768e-cdfc-44d9-a152-617701d21bef,James,Vincent,73,New Saraton,Vermont,9,268.4,-1.82,2024-02-01,True
bb7ae003-5f32-451d-875b-099fb8dcbbed,Jared,Henson,67,Rodneyview,Alabama,2,405.42,8.22,2024-02-01,True
8887a7d6-563d-4757-8e13-b6866ccbc964,Robert,Mills,53,Lake Meganberg,Kentucky,21,54.67,4.37,2024-02-01,False
818c28f8-6b67-4a84-b600-b8473c727be9,Miranda,Jones,22,South Michelleberg,Arizona,15,355.72,-7.4,2024-02-01,False
e59b8c2e-374d-4ec8-bda6-0cedc4250e53,Jennifer,Bennett,38,East Stephen,Illinois,15,404.36,-6.86,2024-02-01,False
9e0d7185-0c5f-43d8-83c5-98adff9fcc47,Jeff,Webb,50,Lake Michaelton,Oklahoma,16,123.18,-2.57,2024-02-01,True
0fc7989d-ae4c-4d25-98fc-826b23bdf7e9,John,Santos,77,Sherrimouth,Wyoming,7,336.12,6.86,2024-02-01,False
e3a60fdb-4db5-4ccb-a268-d762dd7de71a,Susan,Craig,52,East Christopher,California,21,318.36,-9.21,2024-02-01,False
b5cd6a0c-04f3-4d2c-808d-15eb03d005c0,Jason,Ryan,49,Port Cynthiastad,VERMONT,12,149.89,0.72,2024-02-01,True
6f955f66-826b-4d61-a499-609c40348b3d,Joseph,Garcia,25,New Steventown,Rhode Island,1,432.56,-8.8,2024-02-01,True
565fa479-f15d-464a-996b-08b169351c0d,Brett,Flores,47,Melissaport,Alabama,7,206.16,-4.8,2024-02-01,False
c3aeee63-dd96-428d-ab0c-3da4eb56559b,Ryan,Hughes,36,Mauriceville,Oregon,18,6.55,7.8,2024-02-01,True
b6132929-21b2-493d-ad0e-a779b4a40df7,Breanna,Mccarty,71,Lake Anthonyshire,Missouri,13,386.5,-2.7,2024-02-01,True
70e9801e-5803-4879-a900-358effa4a9eb,Stacy,Graves,38,Port Erica,Montana,10,460.79,2.63,2024-02-01,False
6153bef6-b1e0-4fd1-acb8-906a028408d8,David,Williams,29,Dukeborough,Florida,21,365.27,1.5,2024-02-01,False
f6744719-d6a0-455b-9764-15f7fb922661,Kellie,Pittman,67,North John,Hawaii,8,112.64,2.54,2024-02-01,True
ff359e1e-074f-4ae0-bdf4-ff9d66747649,Martin,Taylor,44,East Angelafort,NEW MEXICO,10,293.74,-3.56,2024-02-01,False
4c825331-bc03-4c3f-b4c2-337ac3754565,Michelle,Edwards,64,West Rebeccamouth,Florida,22,391.83,3.0,2024-02-01,True
b2d07981-a266-46ef-943d-01154942d24d,Shannon,Pace,51,West Julianstad,Hawaii,15,215.31,-6.84,2024-02-01,False
955a0812-b8a0-4be3-b918-e4429cfb7b07,Eric,Campbell,30,North Samantha,Mississippi,23,23.11,2.38,2024-02-02,False
36666d0a-86c5-43f5-865e-ef4d9f66ce53,Ashley,Dodson,68,New Brian,Nebraska,18,371.97,8.51,2024-02-02,True
f3d72350-20ea-4f25-aab9-57297c1e5c61,Amber,Turner,63,Ericton,Idaho,19,55.78,3.93,2024-02-02,True
e5d4b976-4da1-485e-a25d-910fd2eb9b27,Justin,Lopez,36,Mcdanielside,Oregon,9,177.51,-3.24,2024-02-02,False
e6759cba-4fca-4331-9e46-7c23dfc531b0,Teresa,Everett,29,North Charleneland,Texas,3,84.99,7.7,2024-02-02,True
a7c56473-c0bd-4b81-a485-4870246cc88d,Kevin,Guzman,62,Shepherdshire,Oklahoma,19,249.39,-3.7,2024-02-02,True
f8a6d470-c500-4106-9336-b9a303abe276,Katherine,Mitchell,20,Thompsonfort,Florida,1,145.91,-7.6,2024-02-02,True
0a7553b5-ae55-4c77-b0d1-3614cca73a46,Lori,Walker,27,East Ethanstad,Missouri,3,131.27,0.36,2024-02-02,True
e6c4f717-0f0d-4017-a06e-6669c5134acd,Lorraine,Phillips,44,Reyestown,Nevada ,22,149.46,0.22,2024-02-02,True
d844d36e-107f-4f74-81a2-f457aed44954,Marcus,Miller,49,Leroystad,Hawaii,3,146.66,-9.15,2024-02-02,True
11b763c5-953b-40ca-815e-9e504efbfc15,George,Brown,28,Amandaborough,New Jersey,2,24.0,-5.24,2024-02-02,True
