uuid,first_name,last_name,Age,City,State,item_count,sale_value,postage,date,repeat_customer
6573f2a0-c3b4-43d0-9bac-d3088d816680,Jason,Simpson,26,South Adam,Rhode Island,2,160.34,-1.67,2024-01-01,True
5a4b0222-0256-4385-84df-8620fee87f82,Jose,Whitehead,43,Port Danielborough,South Dakota,5,464.17,-9.71,2024-01-01,True
6dfed25f-d78c-41de-81cf-d3090f255515,Jeremy,Turner,23,Port Toddmouth,New Mexico,12,489.7,2.8,2024-01-01,True
50b68f64-a5d5-45cb-8b7d-f0ce6a733df8,Aaron,Ward,64,East Beth,Washington,17,126.49,0.71,2024-01-01,True
96cffd3c-2806-4a87-8b52-1b34d11fec33,Amy,Fitzgerald,24,Lake Elizabeth,Hawaii,6,486.82,-4.62,2024-01-01,False
81530e38-72a1-4826-ad60-d63120c00eae,Thomas,Holland,47,Raymondfort,South Carolina,8,405.75,7.23,2024-01-01,False
5ed6cc98-b2ef-4c09-9b3f-c20a44dad8e6,Tina,Jordan,45,New Gail,Vermont,22,356.28,-5.19,2024-01-01,False
e5009004-ba46-4edf-b6e6-ed1ecb069902,Amy,Flores,63,Lynchport,New Hampshire,21,227.14,3.63,2024-01-01,False
9181350e-f13d-4857-b67b-6ed7a1c2709c,Kevin,Brown,32,Mooreton,Virginia,12,486.31,1.38,2024-01-01,False
f931b3f9-3d35-434a-8051-8004e7facf24,James,Anderson,44,Johnstad,Kentucky,7,463.47,-7.39,2024-01-01,False
f60c49e3-2c01-4dbf-9596-14283effb18b,Emily,Perry,33,Rodriguezland,Virginia,4,369.94,-8.57,2024-01-01,False
d396a385-ad46-41b9-8007-7cecd93d837c,Ashley,Robinson,69,West Andreastad,Texas,17,59.47,-7.44,2024-01-01,False
4344a252-23ca-4633-aa97-db3330b77733,Jeanne,Flores,44,Port Wendy,Iowa,9,75.27,5.43,2024-01-01,True
68c46de5-f326-48cc-a9b8-e835cab7669b,Joe,Smith,19,East Ronald,Tennessee,14,427.11,3.16,2024-01-01,False
557d958e-00da-4230-bde2-374b6a726d31,Monica,Gilmore,34,Lake Alecstad,Delaware,1,105.38,4.53,2024-01-01,False
d7e82310-12e3-4d16-b9bc-5686a0da8b41,Gary,Stokes,52,Blackburnville,Alaska,8,381.59,-6.27,2024-01-01,False
fc56200a-2596-486a-9330-e1dedcc0346b,Chad,Lopez,47,Dennisburgh,Louisiana,22,282.8,0.99,2024-01-01,False
0904dcf4-08b0-4642-a504-55e78a1dff28,Sarah,Graham,47,Jacksonfurt,New Jersey,19,355.85,6.41,2024-01-01,False
6cd8d545-0838-4cf4-80de-3924e1c44b07,Monica,Franco,58,South Troystad,Tennessee,7,136.55,2.69,2024-01-01,True
6eaf7bfe-bff0-4f8f-a6f4-bb34458febfb,Raymond,Mendez,59,South Donaldfort,Montana,12,16.14,4.26,2024-01-01,True
34b9652b-e8e6-4adc-88bc-a468e23bbc69,Tina,Chapman,30,North Kristinaberg,Mississippi,12,330.24,-6.81,2024-01-01,True
ee4dc3d1-6717-4a66-9d02-76ff8b265887,Samuel,Chang,58,West Melissatown,New Mexico,14,65.49,-3.67,2024-01-01,True
09770f1c-df0d-4117-9973-ede5b1479083,Samantha,Lee,68,Smithstad,Indiana,18,283.23,-8.16,2024-01-01,True
4d365582-8247-410d-bbcb-c5217352ad5d,Todd,Salazar,37,Port Patrick,Idaho,21,140.12,-6.85,2024-01-01,False
cac2aef6-70e7-4a8a-b3cf-f6845d0d33fa,Edward,Martinez,40,East Bryan,Wisconsin,11,196.86,-6.4,2024-01-01,True
fae7524b-41b5-4a6e-85a5-75444d7d8151,Madison,Powers,57,Richardsonview,Arizona,3,217.75,-3.94,2024-01-01,True
187debbd-2caf-4400-9862-2efeb6a08450,Jessica,Ramos,75,Stephenstad,Oregon,18,77.7,-3.55,2024-01-01,True
00d42d8d-1676-44e7-aa6b-6f7b657d1a1a,Melissa,Thompson,42,Lambertshire,West Virginia,3,190.27,1.56,2024-01-01,False
fd956afd-c090-40cc-8954-513d05eae4a8,George,Richmond,49,New Linda,Louisiana,8,213.57,2.2,2024-01-01,False
12f0e483-d11b-4457-aa97-dbed3a44da33,Ruben,Gentry,60,New Kevinfurt,Nebraska,8,384.52,-6.71,2024-01-01,False
846d6904-9180-4742-bc4a-2b5bdb58431a,Brittany,Pitts,26,Deckerfurt,Massachusetts,14,123.11,8.95,2024-01-02,False
ccede537-30e6-4494-bb11-b3598bdc1d0f,Joel,Johns,34,Stevenchester,West Virginia,7,114.61,-9.44,2024-01-02,False
ec6c82d3-bc1c-41e9-b5af-74da22363baf,Jennifer,Watts,63,South Katherine,Alabama,10,12.14,7.0,2024-01-02,True
4fe0f566-3a39-418f-96a9-246e37a0d294,Lisa,Luna,45,South Anthonyland,Connecticut,12,205.32,8.43,2024-01-02,True
a4be9a83-e601-469a-9a97-e7fe08080980,Robert,Lambert,41,North Melaniestad,Oregon,3,106.49,7.21,2024-01-02,True
