uuid,first_name,last_name,Age,City,State,item_count,sale_value,postage,date,repeat_customer
dd01e740-9750-48ba-a1c7-0577daee6f86,Tommy,Snyder,74,West Carlshire,Colorado,19,203.14,0.39,2024-03-01,False
980a5bce-f75a-4d57-8766-2ee447f0dd70,Sabrina,Scott,27,Douglasborough,Idaho ,21,89.8,-4.27,2024-03-01,False
11638260-a3f9-4fbc-bbba-9f4614bc76c4,Kevin,Lamb,49,Sarahside,Maryland,12,104.6,1.0,2024-03-01,True
42b804c6-221f-495e-9a4e-8e5d3bd460c0,Terri,Carr,35,East Shawnton,Iowa,22,2.42,1.53,2024-03-01,True
b55d45d6-9f09-4c4a-8731-049350bd8dc8,Jonathan,Taylor,64,South Edward,Idaho,20,313.29,-5.38,2024-03-01,True
352ee739-7d68-45f0-be36-248878b3d040,Gloria,Adams,26,Lake Andrew,SOUTH CAROLINA,14,121.67,6.24,2024-03-01,False
90978101-fc99-4548-af6d-3a7abbf20217,Cynthia,Glover,20,Collinsside,Pennsylvania,17,189.84,-6.57,2024-03-01,False
79fd9842-3a19-4d0c-8fbb-23ee4068d8f5,Ashley,Rodriguez,70,Collinston,Kentucky,13,332.29,-3.17,2024-03-01,True
5d814fe8-f138-43f4-bd3e-80317abe1c42,Tracey,Compton,46,Jonesborough,UTAH,20,421.87,-9.84,2024-03-01,True
e23f6d35-e5f9-4f9f-9498-c521e867750c,Sheila,Davis,62,Alexandriastad,Arkansas,3,290.55,2.41,2024-03-01,True
e09fc22c-772f-49f7-a81e-4d36bcfd06b7,Michael,Whitehead,26,Finleyfurt,Michigan,14,417.34,2.45,2024-03-01,False
4b423685-3b7b-4dd6-be6b-bf104a3a1eb9,Zachary,Powell,50,New Jonathonmouth,Kentucky,23,229.11,3.2,2024-03-01,False
21e37d10-86b2-4c96-a64c-f815650393e4,Karen,Molina,61,East Craig,New Mexico,13,155.89,5.32,2024-03-01,True
7ad2a68c-e8e8-4ea9-a1ae-5cebab455c68,Ann,Harris,76,South Josephfort,Ohio ,8,384.3,6.66,2024-03-01,True
6ef1f5dc-d62f-493f-aa34-3a679456f87b,Ashley,Ford,70,East Patrickshire,New Jersey,21,226.46,5.69,2024-03-01,False
0b54e9ec-36bf-4840-9f01-82c1ff9bc6d7,Jonathan,Hansen,62,Reyesview,Georgia,2,400.93,4.23,2024-03-01,False
896b632c-ee85-41af-8360-5ad919d37e29,Curtis,Cook,66,Donnaburgh,Delaware ,5,318.4,6.96,2024-03-01,False
49a4a53c-a91e-48c8-bcdf-98ebcbe1d1fa,Joseph,Griffin,39,Jacobburgh,Utah,17,165.77,-6.97,2024-03-01,False
4d88b66f-acd3-4be0-a7a6-d876041718a1,Cody,Curtis,40,East David,Mississippi,2,239.18,-6.62,2024-03-01,False
696b8e6f-0a6f-44ce-979e-597d3b80a542,Julie,King,41,North Scott,Vermont ,0,207.43,-8.73,2024-03-01,True
6280b098-1c9e-45de-8cf7-a259d983b656,Scott,Jackson,75,Harrisonfurt,Mississippi,12,435.53,4.24,2024-03-01,False
584122eb-9b53-48e5-966c-ace766fe8b51,Jennifer,Jones,53,Suarezbury,Connecticut,14,272.8,-1.12,2024-03-01,True
0d725132-b217-4cd7-a197-6145bc9ac1ee,Thomas,Medina,65,Holtville,Wisconsin,19,294.75,0.51,2024-03-01,False
11a92f71-e4b2-4573-b64e-62e84344cfb4,Nichole,Cole,72,New Robinshire,Oregon,22,292.61,9.8,2024-03-01,False
b780c372-3cc1-44ec-8bce-2cffca8864eb,Sean,Fuller,29,South Heather,Tennessee,18,491.78,-4.95,2024-03-02,True
3cf1ad2a-6adf-4f87-b1c2-e3e8f4bad7bc,Justin,Johnson,72,Joneschester,Louisiana,6,193.33,-7.39,0.0,True
ac8d1bc6-43ae-4e4e-9d8e-d120b14efff3,Brent,Lewis,55,Lake Richardborough,Arkansas,3,273.67,-2.13,2024-03-02,False
abbaa983-fb1a-4a48-a7b1-6c8e034c8d95,Crystal,Butler,39,Port Melissashire,Arkansas,13,70.94,-1.64,2024-03-02,True
a373380d-8daf-4e85-b9ed-f39d1b1d9408,Joshua,Bailey,60,Dannyshire,Minnesota,19,229.35,5.27,2024-03-02,False
9e48760d-84e6-41c8-b80b-5b26c6329c2a,Holly,Thomas,67,Lake Kimberlytown,WISCONSIN ,18,56.47,7.96,2024-03-02,False
0df7278f-bf56-41ec-803a-f22a5becf4d5,Nathaniel,Miller,51,Lake Donnamouth,North Carolina,2,402.32,8.63,2024-03-02,True
3172249c-6a72-4a27-adee-4cbf75a5e9db,Joseph,Gray,19,Andersenborough,Mississippi,13,304.62,6.4,2024-03-02,True
49953c7f-5d4c-408e-a167-463f79f7aa28,Rhonda,Riley,20,North Jenniferburgh,Ohio,8,363.91,-7.16,2024-03-02,True
4b33de4b-23eb-4d90-b639-0f2b90796092,Brandon,Carter,62,Port Kevin,Maryland,16,91.29,3.39,0.0,False
87001f42-1756-4051-8de4-fff7d0e9492a,Jessica,Haas,38,Johnsonberg,West Virginia,13,152.97,6.38,2024-03-02,True
39b5fc6e-c813-4d1f-8b3e-b8feeac07c40,Matthew,Lewis,73,North Keith,TEXAS,5,261.44,-6.97,2024-03-02,True
f49f002d-97bc-44da-9fc4-df823d169ab0,Ronald,Davis,32,Port Joshuaburgh,Michigan,7,275.9,0.27,2024-03-02,False
9d5f40d7-cbbf-45f9-95a8-01fc1284d70b,Dwayne,Allen,27,Port April,Ohio,20,103.48,5.33,0.0,True
cd2019da-6817-4a9a-97b5-7df82db63b28,Matthew,Marks,47,North Elizabeth,Florida,9,406.65,5.75,2024-03-02,True
d73cc954-d6ab-4f32-a8f4-202401b282db,Kimberly,Jones,76,Catherineport,Arkansas,5,385.8,6.39,2024-03-02,False
db9e7623-7180-443c-b903-3a15532c8d88,Heather,Morales,26,Boyershire,Louisiana,11,126.71,8.37,2024-03-02,True
0a7ae14e-3528-4fcc-a9be-ec1092bd9e1e,Wyatt,Johnson,59,Benjaminburgh,Missouri ,2,257.11,-5.38,2024-03-02,False
63a7d124-c560-42e2-806e-5d9c37d5153a,Ryan,Schmidt,57,Reginastad,Alaska ,6,46.26,-8.28,2024-03-02,False
32a556d4-ae56-4c44-927c-68bdf650a6b5,Isaiah,Gallagher,71,Powellburgh,Nevada ,10,404.38,-5.89,2024-03-02,True
b248b1b0-4294-4046-8537-fdeacad0c6af,Brian,Arnold,60,East Ralphbury,Indiana,18,78.44,-4.11,2024-03-02,True
27275a9a-e510-4527-8939-211b14fbd7e8,Timothy,Harper,24,West Joshuatown,Wisconsin,7,498.44,-4.67,2024-03-02,True
c1b213a4-3645-443b-aa88-6fee12ba84da,Lindsey,Carlson,51,New Yvetteport,Vermont,0,320.19,3.62,2024-03-02,False
